titre,url_fiche,annee_sortie,id_imdb,id_moviedb_final,budget
Ni dieux ni maîtres,https://www.imdb.com/title/tt5614174/?ref_=adv_li_tt,2019,tt5614174,480657,0
Bionic Showgirl,https://www.imdb.com/title/tt10069190/?ref_=adv_li_tt,2019,tt10069190,-,-
Bonjour le monde!,https://www.imdb.com/title/tt10872982/?ref_=adv_li_tt,2019,tt10872982,627451,0
Le Bel été,https://www.imdb.com/title/tt11275350/?ref_=adv_li_tt,2019,tt11275350,626655,0
On ment toujours à ceux qu'on aime,https://www.imdb.com/title/tt7439512/?ref_=adv_li_tt,2019,tt7439512,573441,0
Kids with Guns,https://www.imdb.com/title/tt5547846/?ref_=adv_li_tt,2019,tt5547846,713231,0
Frères d'arme,https://www.imdb.com/title/tt7523386/?ref_=adv_li_tt,2019,tt7523386,484744,0
Links of Life,https://www.imdb.com/title/tt4725914/?ref_=adv_li_tt,2019,tt4725914,445002,0
Trop Belge pour toi,https://www.imdb.com/title/tt9384150/?ref_=adv_li_tt,2019,tt9384150,578966,0
La Deuxième,https://www.imdb.com/title/tt9074994/?ref_=adv_li_tt,2019,tt9074994,575206,0
Plein la vue,https://www.imdb.com/title/tt7417994/?ref_=adv_li_tt,2019,tt7417994,622942,0
Le rêve de Mila,https://www.imdb.com/title/tt10619650/?ref_=adv_li_tt,2019,tt10619650,-,-
Jusqu'à la lie,https://www.imdb.com/title/tt8206958/?ref_=adv_li_tt,2019,tt8206958,636057,0
Colour Me Queer,https://www.imdb.com/title/tt18062404/?ref_=adv_li_tt,2019,tt18062404,-,-
French Touch: Coming of Age,https://www.imdb.com/title/tt10887342/?ref_=adv_li_tt,2019,tt10887342,626967,0
Le retour de Richard 3 par le train de 9h24,https://www.imdb.com/title/tt10081286/?ref_=adv_li_tt,2019,tt10081286,710742,0
Intemporel,https://www.imdb.com/title/tt9145354/?ref_=adv_li_tt,2019,tt9145354,-,-
Jungle Jihad,https://www.imdb.com/title/tt4853914/?ref_=adv_li_tt,2019,tt4853914,-,-
Secrets de Famille,https://www.imdb.com/title/tt11306812/?ref_=adv_li_tt,2019,tt11306812,710701,0
La Passion de Marie Madeleine,https://www.imdb.com/title/tt11307832/?ref_=adv_li_tt,2019,tt11307832,640118,0
Trip,https://www.imdb.com/title/tt8657636/?ref_=adv_li_tt,III 2019,tt8657636,-,-
Hayati,https://www.imdb.com/title/tt10939980/?ref_=adv_li_tt,2019,tt10939980,622753,0
Pau,https://www.imdb.com/title/tt7865156/?ref_=adv_li_tt,2019,tt7865156,582024,0
La compagne des morts,https://www.imdb.com/title/tt8041264/?ref_=adv_li_tt,2019,tt8041264,878972,0
Carte de visite,https://www.imdb.com/title/tt9303782/?ref_=adv_li_tt,2019,tt9303782,616023,0
Mens,https://www.imdb.com/title/tt10125774/?ref_=adv_li_tt,2019,tt10125774,573654,0
Push it to the limit,https://www.imdb.com/title/tt11339636/?ref_=adv_li_tt,2019,tt11339636,821387,0
